FDRID,BatchName,Guarantor1,Quiet_Enjoyment1,Business_Interruption_Insurance1,Default_Interest_and_Late_Charges1,Renewal_option1,Termination1,Due_date1,Late_Fee1,Default_Interest_charges1,Renewal_option_Stated_in_the_Lease1,Renewal_option_Time_is_of_the_essence1,Termination_Stated_in_the_Lease1,Termination_Time_is_of_the_essence1
Test11,Batch_2020-05-18_00-23-16,Not Defined,"Subject to the terms and conditions of this Lease and to any ncumbrances to which this Lease is subordinate, Landlord hereby covenants and agrees that if Tenant shall perform all of the covenants and agreements herein stipulated to be performed on Tenant's part,Tenant shall at all times during the continuance hereof have the peaceful and quiet enjoyment and possession of the Premises without any manner of hindrance from Landlord or any person or persons lawfully claiming the Premises, save and except in the event of the taking of the Premises by public or quasi-public authority ",Not Defined,"Notwithstanding anything in this  Lease to the contrary, in the even Tenant fails to pay any Rent or any other sum due and owing Landlord within ten (10) days following the due date of said Ren t, then Tenant shall pay a late charge of five percent (5%)  of the amount",Not Defined,Not Defined,within ten (10) days following the due date of said Ren,five percent (5%),Not Defined,Not Defined,Not Defined,Not Defined,Not Defined
Test12,Batch_2020-05-18_00-23-16,Not Defined,"If Lessee pays the Minimum Rent, Percentage Rent and all items of additional rent and performs all of the covenants and agreements to be performed on Lessee's part 211, Lessee shall, 212 e rin(l saie perieG, have the peaceable and quiet enjoyment and possession of the Premises, subject to the terms, conditions and covenants of this Lease and any mortgages or ground leases superior to this Lease, without any manner of hindrance from Lessor or any persons lawfully claiming through Lessor.  213 ",Not Defined,"If Lessee shall fail to pay any installment of Minimum Rent, Percentage Rent or any item of additional rent within 36li\?e (a) !lays after the sale the same become due and payable, then Lessee shall pay to Lessor a late payment service charge (""Late Charge"") covering administrative and overhead expenses equal to the greater of (a) Two Hundred Fifty and 00/100 Dollars ($250.00), or (b) five cents (5›) per each ",Not Defined,Not Defined,on the first day of every calendar month,"administrative and overhead expenses equal to the greater of (a) Two Hundred Fifty and 00/100 Dollars ($250.00), or (b) five cents (5›) per each",Not Defined,Not Defined,Not Defined,Not Defined,Not Defined
Test13,Batch_2020-05-18_00-23-16,#NAME?,"Tenant, subject to the terms and provisions of this Lease and on payment of the rent and observing, keepin g and performing all of lhe terms and provisions of this lease on its part to be observed, kept and performed, shall lawfully, peaceably and quietly have, hold and enjoy the Premises during the term  hereof on and after the Term Commencement Dale without hindrance or ejection by Landlord or  any  persons lawfully claiming under Landlord; but it is understood and agreed that this covenant, and any and all  other covenants of Landlord contained in this Lease shall be binding upon Landlord and its successors only with respect to breaches occurring during its and their respective ownership of Landlord's interest hereunder. If Landlord is unable to place Tenant In possession of the Premises al the Term Commencement Date by reason of the possession of the Premises by another tenant holding over under a lease, such inability by t,andlord shall not consliMe a default under this Lease; but the Term Commencement Date shall be postponed until such dale as such holdover tenant gives up possession of the Premises and the term of this lease shall be deemed to commence on such Term Commencement Date as postponedWith respect to any services to be furnished by Landlord to ? Ten ant or Ten ant to Landlord, the        a    which is obli ated to the other but is un able lo  erform such services shall in no event be liable lor ladure to              rmsh I e same when prevented  rom doing so by slri e, loc out, breakdown, accident, order or regulation of or by any governmental authority, or failure of supply, or inability by the exercise of reasonable diligence to obtain supplies, parts or employees necessary to furnish such services, or because of war or other emergency, or for any cause beyond Landlord's control. In no event shaU landlord orTenant ever be liable to ? lhe other for any indirect or consequential damages by reason of ? lhe other's breach or default of the terms of this Lease:- ",Not Defined," If during the term of this Lease Tenant fails to pay the full amount of the Fixed Monthly Minimum Rent, Percenta ge Rent or ""AddlUonal Renr (defined In Section 3.09) when the same is due and paya ble, then interest at the monthly rate of ? one percent ? {!ID per month or the maximum rate then permitted by law, whichever is less, shall accrue on the unpaidamount from""""aria after the date on which any such sum shall be due and payable, and such interest, together with a Late Charge of Fifty and 00/100 Dollars ($50.00) for each past due payment to cover the extra expense involved in handling such delinquency, shall be paid to Landlord at the time of payment of the delinquent sum.? Landlord shall have the right to apply any payments made by Tenant first to any deficiency in the payment of the interest and administrative charges provided for hereunder. Any payment to be made by Tenant under this Lease shall be deemed to have been paid upon the date that it is received by Landlord.  The provision for a Late Charge and interest herein shaH not be deemed to grant Tenant any grace period or extension of time or prevent Landlord from exercising its other rights under this Lease. Tenant shall pay to Landlord an administrative fee of Fifty and 00/100 Dollars ($50.00) for each and every check submitted by Tenant which is dishonored.   If La ndlord receives from Tenant two or more checks which have been dishonored, all checks from Tena nt thereafter shall, at Landlord's option, be either certified or cashier's checks. ",Not Defined,Not Defined,upon the first day of ea ch calendar month,"one percent ? {!ID per month or the maximum rate then permitted by law, whichever is less, shall accrue on the unpaidamount from""""aria after the date on which any such sum shall be due and payable, and such interest, together with a Late Charge of Fifty and 00/100 Dollars ($50.00) for each past due payment to cover the extra expense involved in handling such delinquency, ",Not Defined,Not Defined,Not Defined,Not Defined,Not Defined
Test14,Batch_2020-05-18_00-23-16,Not Defined,"Landlord's Covenant.If Tenant pays the rents and other amounts herein provided, observes and performs all the covenants, terms andconditions hereof, Tenant shall peaceably and quietly hold and enjoy the Premises for the Lease Term without interruption by Landlord or any person or persons claiming by, through or under Landlord, subject, nevertheless, to the terms and conditions of this Lease. ",Not Defined,"If Tenant shall fail to pay any installment of Minimum Rent, Percentage Rent or any item of additional rent within ten (I0) days after the date the same became due and payable and such non-payment occurs on more than one occasion during  any Lease  Year, then  Tenant  shall  pay  to  Landlord  interest  calculated  by taking the primecommercial/ending rate charged by Landlord's banker plus two percent (2%). a latil f!S,'fftilftt silA'iilil ilkttrgil (""Latil Ckargil"") ilevilriHg a8miHi8trati\ú0 and evilrk?!a8 ill<fl?!118?!8 il?f:ttal te th0 grilatilr ef (a) $2?Q.QQ er (8) ?› flilr ilttilk Silllar se evilrSttil.   Provision  herein  for payment  of interest th0 Latil  Ckargil  shall not be construed to extend the date for payment of any sums  to be paid by  Tenant  hereunder  or to relieve  Tenant  of  its obligation  to pay  all  such  sums at the times herein stipulated. If the Commencement Date is other than the first day of a month, Tenant shall pay on the Commencement Date a prorated partial Minimum Milfttb:ly Annual Rent for the period prior to the first day of the next calendar month, and thereafter Minimum Me11thly Annual  Rent  payments  shall  be  made  not  later than  the  first  day  of each calendar month.  For  purposes  of this  Lease,  a  ""Major  Tenant""  is herein  defmed  as  a  single  tenant  occupying  at least 25,000 contiguous  square  feet  of floor  area  operating  under the same  Trade Name.  If a88itieHal  Majer  Tilftaftts ttril a8808 te tftil CilDtilr er an il}[istiHg Majer Tillllmt is rilfll88ilS ey a Majer TilDimt ef kigkilr ?f:ttality, th0 MiHimttm A1ftttal Rilllt 1m8 Mrnimttm Meftthly R8Rt kilrilm f!rilvis?!8 fer shall atttematisally 80 milr?!88?!8 tilft flilrililftt (lQ%) at tltil tim?! ilttilk a88itiilHal er kigkilr ?f:ttality Majer T?!R8ftt ef!BHB fur 8ttsiHBss.  In a88itie11 te tftil fur0geiHg, if Lan8ler8 skall, at 81'1)' tim?! 8miHg iliil tilrm ilf tltis Lil88il, rilHevatil er illlfltlfi:S th0 CilHtBr, th0 0est ef wfiiBk il}[BililSB T011 Millie11 Qellars ($IQ,QQQ,QQQ.QQ), tltil l'? Rilftt kilrilrn f!revi8il8 fur skall atttemati0ally Bil milrilas?!8 tilft flilrililftt (1Q%) ttflilll tlt?! ftr8t SS,' ef th?! meftth fullewiftg tlt?! ileFR:f!liltieft ef Sttilk r?!HevatieR er illlflanSiilJI. ",Not Defined,Not Defined,ten (I0) days ,Tenant shall  pay  to  Landlord  interest  calculated  by taking the prime commercial/ending rate charged by Landlord's banker plus two percent (2% ,Not Defined,Not Defined,Not Defined,Not Defined,Not Defined
Test15,Batch_2020-05-18_00-23-16,Not Defined,Not Defined,Not Defined,Not Defined,Not Defined,Not Defined,Not Defined,Not Defined,Not Defined,Not Defined,Not Defined,Not Defined,Not Defined
WS_06041,Batch_2020-05-18_00-23-16,Not Defined,"Landlord hereby covenants that Tenant, on paying the Rent and performing the covenants set forth herein, shall peaceably and quietly hold and enjoy throughout the Term the Premises and such rights as Tenant may hold hereunder with respect to the remainder of the Shopping Center.",Not Defined," The Minimum Rent for each year (or part thereof) during the Term shall be due and payable in 12 consecutive, equal monthly installments, in advance, on the first day of each calendar month during the Term. ","Tenant shall have 2 options to renew the Term upon its expiration, each for an additional period of 6 years (each, a ""Renewal Term""; together, the ""Renewal Terms""), subject to the following terms and conditions: In order to exercise its option to renew the Lease, Tenant must give Landlord written notice of its election to renew not earlier than 18 months and not later than 240 days before the expiration of the then-current Term.All terms of the Lease shall remain in full force and effect for the first Renewal Term, except that the Minimum Rent applicable during the first Renewal Term (if any) shall be as set forth in the Reference Pages.All terms of the Lease shall remain in full force and effect for  the  second Renewal Term, except that the Minimum Rent applicable during second Renewal Term shall be at the then-prevailing market rate of rent for first-class retail space, with such market rate to reflect such factors as the location of the Shopping Center, size of rental area, condition of the Premises, and the time the particular rate under consideration becomes effective; provided, however, that in no event shall the Minimum Rent for the second Renewal Term be Jess than that in  effect at the expiration of the first Renewal Term. If Tenant validly exercises its second option to renew the Term of the  Lease  in accordance with the foregoing, then Landlord shall notifY Tenant in writing of the then-prevailing market rate of Minimum Rent (as determined  by real estate brokers or other professionals  selected by Landlord)within 15 days of Landlord's receipt of Tenant's notice of its election to exercise the second option to renew. Within 15 days of Tenant's receipt of Landlord's notice of the rate of Minimum Rent to apply during the second Renewal Term, Tenant shall advise Landlord whether such rate of Minimum Rent is acceptable. If Tenant advises that such rate of Minimum Rent is not acceptable, then within 5 days of Tenant's notice each of Tenant and Landlord shall select one real estate broker, which brokers shall jointly select a third broker (the ""Arbitrator"") each with at least 10 years' experience in real estate leasing in the county where the Shopping Center is located; provided, however, that if the brokers appointed by Landlord and Tenant are unable  to agree upon the identity of the Arbitrator within 10 days of their selection by Landlord and Tenant, then the Arbitrator shall be selected by the San Francisco, California chapter of the American Arbitration Association. Each of Landlord and Tenant shall submit to the Arbitrator an opinion as to the market rate of Minimum Rent to apply during the Renewal Term and such other information as the Arbitrator shall require, following which the Arbitrator shall render an opinion as to the market rate of Minimum Rent, which shall be binding upon  the parties.  The Arbitrator's opinion shall be rendered in accordance with the method of dispute resolution commonly known as ""Baseball Arbitration"" and shall reflect either one of the opinions submitted by Landlord and Tenant, it being understood that the Arbitrator shall be expressly prohibited from selecting a compromise figure. Landlord and Tenant shall each bear their own costs associated with their respective determinations of the market Minimum Rent, and shall equally share the cost of the Arbitrator.The foregoing notwithstanding if Tenant fails to give notice exercising its right to renew the Lease in the manner set forth above, or if at the time Tenant exercises either such option or at commencement of any Renewal Term an Event of Default exists, or ifthis Lease is assigned by Tenant or the Premises sublet in whole or in pmi (other than in connection with a Permitted Transfer), then all of Tenant's then-remaining right and option to renew shall be automatically terminated and of no further force or effect. ",Not Defined, on the first day of each calendar month ,Not Defined,"Landlord's sole option, bear interest from the due date until paid at the prime rate per annum promulgated by Bank of America (or, in the event Bank of America ceases to exist, another national banking institution having offices in the Philadelphia, Pennsylvania metropolitan area, which national banking institution is then a member of the Federal Deposit Insurance Corporation and is otherwise reasonably acceptable to Landlord) for short term commercial loans plus 4% (not to exceed the maximum rate permitted by law) (the ""Default Rate"").",OPTION TO RENEW,Time shall be of the essence of this Lease. ,Not Defined,Not Defined
WS_06085,Batch_2020-05-18_00-23-16,Not Defined,"So long as Lessee is not in default under this Lease after notice and expiration of applicable cure period, Lessee shall quietly have and enjoy the Premises during the Term of this Lease. Lessor agrees that Lessee shall have continuous, peaceful, uninterrupted and exclusive possession and quiet enjoyment of the Premises during the Term of this Lease. ",loss of rents or business interruption insurance covering the Rent and other amounts payable under this Lease ; and,Not Defined,"Lessee shall have the right and option to renew this Lease for three additional periods of five (5) Lease Years each (each, an ""Option Renewal Period""), next immediately ensuing after the expiration of the Initial Term of this Lease and the subsequent renewal Terms by notifying Lessor in writing not less than 180 days before the expiration of the immediately preceding Initial Term or subsequent renewal Term of this Lease of Lessee's intention to exercise its option to renew. In the event that Lessee so elects to extend this Lease, then, for such extended period of the Term, all of the terms, covenants and conditions of this Lease shall continue to be, and shall be, in full force and effect during such extended period of the Term hereof, except for the Rent, which shall be as set forth in Section 2.",Not Defined,Not Defined,Not Defined,"
",Renewal option,Not Defined,Not Defined,Not Defined
WS_06095,Batch_2020-05-18_00-23-16,Not Defined,"So long as no default continues to exist which Tenant has failed to cure after any applicable notice and cure period set forth in this Lease, Tenant shall lawfully and quietly have, hold and enjoy the Premises during the Term without hindrance or molestation by Landlord or anyone claiming by, through or under Landlord, subject, however, to all mortgages, encumbrances, easements, underlying leases, and instruments of record to which this Lease may become subject from time-to-time, and the provisions of this Lease.","From the Delivery Date until the end of the Term, Tenant shall, at its sole cost and expense, obtain and maintain in full force and effect (a) ""All-Risk"" property insurance insuring against all risks of direct physical loss or damage included within the broadest available policy form written by insurance companies licensed to do business in the state in which the Center is located covering Tenant's Improvements, leasehold improvements, trade fixtures, equipment, furniture, merchandise, signs and other personal property from time-to-time located on the Premises, which property insurance shall (i) be in an amount not less than ninety percent (90%) of the full replacement cost (new, without deduction for depreciation) of the covered items and property as the same may exist from time-to-time and (ii) include an agreed amount endorsement in an amount sufficient to satisfy any coinsurance clause requirements, (b) boiler and machinery insurance on all boilers and other pressure vessels, the HVAC serving the Premises, and electrical and mechanical equipment and systems serving the Premises, which insurance to be in an amount not less than $500,000.00 and (c) insurance covering all plate glass on the Premises, which plate glass insurance Tenant may self-insure. The insurance pursuant to (a) and (b) above shall also include coverage for business interruption (including, without limitation, lost income and extra expense) whether direct, contingent or interdependent. "," If Tenant fails to pay any Rent to Landlord when due, Landlord shall be entitled to (a) interest on the unpaid Rent at the Agreed Rate from the date payment is due until the date payment is made and (b) a service charge equal to three percent (3%) of the overdue amount up to a maximum of $500.00 per instance. If payment is made by a check which is dishonored by the drawing bank, Tenant shall pay to Landlord a service charge equal to Fifty Dollars ($50.00). Tenant acknowledges the late payment of Rent or the use of a dishonored check by Tenant will cause Landlord to incur costs and expenses not contemplated by this Lease, the exact amounts of which will be extremely difficult to ascertain, and that the service charges represent fair estimates of the costs and expenses which Landlord would incur by reason of Tenant's late payment of Rent or use of a dishonored check. The imposition of such interest and service charges shall neither constitute a waiver of Tenant's default with respect to such overdue amount nor prevent Landlord from exercising any other right or remedy available to Landlord. Notwithstanding the foregoing to the contrary, for the first two (2) times in any calendar year that Tenant has failed to pay any Rent when due, the foregoing interest and service charge shall not apply unless Tenant has failed to make such payment within ten (10) days of receipt of Landlord's written notice of such delinquency. Landlord shall not be to give Tenant such notice more than two (2) times in any calendar year prior to assessing the service charge. ",Not Defined,Not Defined,Within Ten (10) days,a service charge equal to three percent (3%) of the overdue amount up to a maximum of $500.00 per instance. ,interest on the unpaid Rent at the Agreed Rate from the date payment is due until the date payment is made and,Not Defined,Not Defined,Not Defined,Not Defined
WS_06118,Batch_2020-05-18_00-23-16,Not Defined,"Upon payment by Tenant of Rental herein provided and other charges payable by Tenant under thisLease, and upon the observance and performance of all the covenants, terms and conditions on Tenant's partto be observed and performed, Tenant shall peaceably and quietly hold and enjoy the Premises for the Termhereby demised without hindrance or interruption by Landlord or any other person or persons lawfully orequitably claiming by, through or under Landlord, subject nevertheless to the terms and conditions of thisLease, any mortgage and/or deed of trust to which this Lease is subordinated and any reciprocal easementagreement made between Landlord and tenants or others occupying the Department Stores; the terms of anysuch reciprocal easement agreement shall not prohibit Tenant's rights to conduct its business in the Premisesas permitted under this Lease.  Landlord has full authority to execute this Lease and it is not necessary forany other person, firm or corporation to join in the execution of this Lease to bind Landlord to its terms. ",Not Defined,"Unless specifically stated otherwise in this Lease, all Rental or other charges to be paid byTenant pursuant to this Lease shall be due and payable thirty (30) days after demand, without any noticefrom Landlord and without any deductions or offsets whatsoever, except as may otherwise be expressly setforth in this Lease.  The parties hereby agree that late payment by Tenant of any Rental owing under thisLease will cause Landlord to incur certain costs and expenses not contemplated under this Lease, the exactamount  of which  costs  are extremely  difficult  and impracticable  to fix.   Such costs  and expenses mayinclude,  for  example,  administrative   and  collection  costs,  and  processing   and  accounting  expenses. Therefore,  in the event Tenant fails to pay  any monthly  installment  of Rental within ten (10) days afterTenant receives written notice from Landlord that such sum is overdue (provided that no such notice shallbe  if Tenant has received two (2) or more written notices of nonpayment from Landlord under this 69        Section within the preceding twelve (12) months), then  Tenant shall pay a late charge of five percent (5%)of the amount in default as liquidated  damages for failure to make prompt payment.    The parties hereby agree that such late charge represents a fair and reasonable estimate of the costs and expenses L dlord willincur by reason of late payment by Tenant.  Acceptance of such late charge by Landlord shall m no eventconstitute  a waiver  of Tenant's  default with respect to such overdue amount, nor prevent  Landlord fromexercising any of the other rights  and remedies  granted in this Lease.   In the event Tenant pays the latecharge set forth hereunder but fails to pay contemporaneously therewith all unpaid amounts of Rental, 7      Landlord's acceptance of this late charge payment shall not constitute a waiver of Tenant's default with s     respect  to  Tenant's  nonpayment  nor  prevent  Landlord  from  exercising  all  other  rights  and  remedies 9       available to Landlord under this Lease, at law or in equity. ",Not Defined,Not Defined,Within Ten (10) days, Tenant shall pay a late charge of five percent (5%) of the amount in default as liquidated  damages for failure to make prompt payment. ,"upon Tenant's failure to so perform) shall bear interest at the lesser of (a) the ""Prime Rate"" as published in Wall Street Journal plus two percent (2%); or (b) the highest rate then allowed under the usury laws of the 2   state where the Development is located from the date due until paid, unless otherwise specifically provided .3         herein, but the payment of such interest shall not excuse or cure any default by Tenant under this Lease. ",Not Defined,Not Defined,Not Defined,Not Defined
WS_06175,Batch_2020-05-18_00-23-16,Not Defined,"So long as Tenant shall peliorm each and every term, condition and covenant to be performed by Tenant hereunder, Tenant shall have peaceful and quiet use and possession of the Premises without hindrance on the part of Landlord until the termination of the Lease and the end of the lease term, and Landlord shall warrant and defend Tenant in such peaceful and quiet use and possession under Landlord. Tenant's rights under this Lease are and shall always be subordinate to the operation and effect of any mortgage, deed of trust, ground lease or other security instrument now or hereafter placed upon the Shopping Center or any part or parts thereof by Landlord .",Not Defined, on the first day of each calendar month ,Not Defined,"Tenant shall have the unilateral right to terminate this Lease effective at any timeafter the tenth (1Oth) Lease Year during the Term by giving Landlord no less than ninety(90) days' prior written notice, and the Lease shall terminate ninety (90) days after the date Landlord receives Tenant's written notice; provided, however, that in the event Landlord's receipt of Tenant's written notice occurs on a date which would result in the termination of the Lease to occur during the period from October 1 to and including January 30 of the next succeeding calendar year, then the effective date of terminat ion of the Lease would automatically be deemed to be January 31 of said next succeeding calendar year.   ",on the first day of each calendar month,Not Defined,"bear interest at the  highest  rate then  permitted to be charged on late payments under leases under California law; provided, however, the  payment of any such interest shall not excuse or  cure the default upon which such interest accrued.",Not Defined,Not Defined,terminate this Lease,"Time is ef the essence ef this Lease and all ef the terms, previsiens, cevenants and cenditiens hereef."
